"LoanOriginationDate","BorrowerRate","StatedMonthlyIncome","LoanOriginalAmount","MonthlyLoanPayment","LP_CustomerPayments","LP_InterestandFees"
"2006-10-24 00:00:00",0.189077777777778,3994.4925926,4608.95555555556,160.754,3767.88244444444,808.381333333333
"2006-10-25 00:00:00",0.202675925925926,4001.4305555,5141.68518518519,182.073333333333,4783.26981481481,1166.18222222222
"2006-10-26 00:00:00",0.193440909090909,3382.63257568182,5020.5,181.21,3712.31636363636,886.477272727273
"2006-10-27 00:00:00",0.180254347826087,4499.30434782609,5257.63043478261,183.675652173913,4810.85130434783,996.694130434783
"2006-10-30 00:00:00",0.191059459459459,4068.83108113514,3471.64864864865,129.898648648649,2995.81486486486,726.337837837838
"2006-10-31 00:00:00",0.197920408163265,4007.31972791837,5093.40816326531,184.437142857143,4318.42285714286,942.335510204082
"2006-11-01 00:00:00",0.199212903225806,3672.0994623871,6390.32258064516,234.844838709677,5165.66096774194,1026.88774193548
"2006-11-02 00:00:00",0.187242857142857,3960.46428565714,5093.6,173.864285714286,5218.34657142857,1146.672
"2006-11-03 00:00:00",0.193017391304348,3712.71739126087,6678.39130434783,239.415652173913,6856.69130434783,1529.91130434783
"2006-11-06 00:00:00",0.199423076923077,3460.12820511538,4390.80769230769,156.813076923077,3741.95115384615,783.391538461538
"2006-11-07 00:00:00",0.167345,4706.66666655,5833.8,194.7105,4503.989,823.731
"2006-11-08 00:00:00",0.212263414634146,3813.23983739024,5268.80487804878,195.734878048781,4725.89926829268,1235.16243902439
"2006-11-09 00:00:00",0.179166666666667,4551.66666666667,9733.5,357.11,5259.47,1432.28166666667
"2006-11-10 00:00:00",0.200675555555556,4024.87777775556,4413.28888888889,158.691777777778,4387.116,1027.24244444444
"2006-11-13 00:00:00",0.198454347826087,3200.01630436957,3856.5652173913,138.328695652174,3418.35108695652,695.349130434783
"2006-11-14 00:00:00",0.191948484848485,4158.98989893939,2921.87878787879,102.158181818182,3095.70878787879,651.30303030303
"2006-11-15 00:00:00",0.18334,3074.6833333,5906.25,204.273,5427.9805,1292.8
"2006-11-16 00:00:00",0.211046153846154,3487.23076930769,4447.88461538462,163.494230769231,3941.14423076923,1011.58
"2006-11-17 00:00:00",0.187515384615385,4378.56089734615,4770.26923076923,165.972307692308,4031.42538461538,772.542692307692
"2006-11-20 00:00:00",0.218429411764706,4023.63970588235,4636.41176470588,170.141176470588,3963.58911764706,897.535588235294
"2006-11-21 00:00:00",0.200359154929577,4184.10093897183,3130.35211267606,111.318169014085,3082.5585915493,690.892535211268
"2006-11-22 00:00:00",0.18345,4512.74122807895,7623.73684210526,272.912368421053,6994.48710526316,1305.76
"2006-11-24 00:00:00",0.210711111111111,3898.10185177778,3244.55555555556,121.54,2725.25222222222,552.966666666667
"2006-11-27 00:00:00",0.168765789473684,3763.90350878947,3223.63157894737,114.002631578947,3100.28,540.919736842105
"2006-11-28 00:00:00",0.196551612903226,4622.20564520968,4503.25806451613,156.289193548387,3980.17209677419,860.231451612903
"2006-11-29 00:00:00",0.193373076923077,3464.21474361538,4128.88461538462,148.790769230769,3324.11423076923,769.490769230769
"2006-11-30 00:00:00",0.201809523809524,4157.06349207143,5095.2619047619,183.646666666667,4808.92047619048,1016.61333333333
"2006-12-01 00:00:00",0.202462790697674,5480.93604662791,6322.6511627907,221.84976744186,5845.19023255814,1294.1823255814
"2006-12-04 00:00:00",0.195627272727273,3726.02272724242,4154.51515151515,150.194848484848,2766.29636363636,764.026666666667
"2006-12-05 00:00:00",0.19365,3906.94607845588,3503.67647058824,122.387794117647,3156.73514705882,681.244558823529
"2006-12-06 00:00:00",0.232152631578947,3396.16885968421,4522.18421052632,167.243421052632,3830.49289473684,1034.44789473684
"2006-12-07 00:00:00",0.1762475,3550.4583333,3106.725,102.1385,3339.85725,762.0075
